,B,I,,,,
,-50,0,,,,
,-49.97558,-0.7541405,,,,
,-49.95116,-2.351702,,,,
,-49.92674,-3.369091,,,,
,-49.90232,-3.816782,,,,
,-49.8779,-3.77828,,,,
,-49.85348,-3.786893,,,,
,-49.82906,-3.567099,,,,
,-49.80464,-3.337396,,,,
,-49.78022,-3.115116,,,,
,-49.7558,-2.868012,,,,
,-49.73138,-2.657058,,,,
,-49.70696,-2.460586,,,,
,-49.68254,-2.308448,,,,
,-49.65812,-2.154412,,,,
,-49.6337,-2.082413,,,,
,-49.60928,-2.111125,,,,
,-49.58486,-2.157151,,,,
,-49.56044,-2.109363,,,,
,-49.53602,-2.027409,,,,
,-49.5116,-1.99651,,,,
,-49.48718,-1.932653,,,,
,-49.46276,-1.84548,,,,
,-49.43834,-1.743491,,,,
,-49.41392,-1.560173,,,,
,-49.3895,-1.366023,,,,
,-49.36508,-1.150123,,,,
,-49.34066,-0.8794206,,,,
,-49.31624,-0.5818026,,,,
,-49.29182,-0.299695,,,,
,-49.2674,-0.008264743,,,,
,-49.24298,0.3289845,,,,
,-49.21856,0.6693475,,,,
,-49.19414,0.9893007,,,,
,-49.16972,1.259174,,,,
,-49.1453,1.50122,,,,
,-49.12088,1.70511,,,,
,-49.09646,1.917857,,,,
,-49.07204,2.164112,,,,
,-49.04762,2.40406,,,,
,-49.0232,2.618532,,,,
,-48.99878,2.779257,,,,
,-48.97436,2.885937,,,,
,-48.94994,2.931246,,,,
,-48.92552,2.945793,,,,
,-48.9011,2.965181,,,,
,-48.87668,2.99248,,,,
,-48.85226,3.04383,,,,
,-48.82784,3.064617,,,,
,-48.80342,3.008419,,,,
,-48.779,2.940066,,,,
,-48.75458,2.89523,,,,
,-48.73016,2.865808,,,,
,-48.70574,2.846662,,,,
,-48.68132,2.771113,,,,
,-48.6569,2.618166,,,,
,-48.63248,2.416213,,,,
,-48.60806,2.177191,,,,
,-48.58364,1.897738,,,,
,-48.55922,1.633396,,,,
,-48.5348,1.474187,,,,
,-48.51038,1.450046,,,,
,-48.48596,1.445586,,,,
,-48.46154,1.458436,,,,
,-48.43712,1.52041,,,,
,-48.4127,1.599294,,,,
,-48.38828,1.684019,,,,
,-48.36386,1.782028,,,,
,-48.33944,1.874053,,,,
,-48.31502,1.929524,,,,
,-48.2906,1.905935,,,,
,-48.26618,1.847563,,,,
,-48.24176,1.782689,,,,
,-48.21734,1.730031,,,,
,-48.19292,1.669132,,,,
,-48.1685,1.603363,,,,
,-48.14408,1.569774,,,,
,-48.11966,1.581613,,,,
,-48.09524,1.597083,,,,
,-48.07082,1.619611,,,,
,-48.0464,1.643597,,,,
,-48.02198,1.664082,,,,
,-47.99756,1.709164,,,,
,-47.97314,1.814892,,,,
,-47.94872,2.025899,,,,
,-47.9243,2.265617,,,,
,-47.89988,2.483709,,,,
,-47.87546,2.692952,,,,
,-47.85104,2.889768,,,,
,-47.82662,3.083355,,,,
,-47.8022,3.250879,,,,
,-47.77778,3.33425,,,,
,-47.75336,3.4351,,,,
,-47.72894,3.597068,,,,
,-47.70452,3.783221,,,,
,-47.6801,3.933649,,,,
,-47.65568,4.115444,,,,
,-47.63126,4.315336,,,,
,-47.60684,4.481789,,,,
,-47.58242,4.609195,,,,
,-47.558,4.668982,,,,
,-47.53358,4.668694,,,,
,-47.50916,4.657088,,,,
,-47.48474,4.646727,,,,
,-47.46032,4.68809,,,,
,-47.4359,4.743032,,,,
,-47.41148,4.772404,,,,
,-47.38706,4.774155,,,,
,-47.36264,4.730153,,,,
,-47.33822,4.625486,,,,
,-47.3138,4.475244,,,,
,-47.28938,4.305959,,,,
,-47.26496,4.084772,,,,
,-47.24054,3.927063,,,,
,-47.21612,3.816831,,,,
,-47.1917,3.669491,,,,
,-47.16728,3.458438,,,,
,-47.14286,3.211788,,,,
,-47.11844,2.968646,,,,
,-47.09402,2.738012,,,,
,-47.0696,2.544604,,,,
,-47.04518,2.387467,,,,
,-47.02076,2.235319,,,,
,-46.99634,2.096199,,,,
,-46.97192,1.968379,,,,
,-46.9475,1.861021,,,,
,-46.92308,1.794265,,,,
,-46.89866,1.761279,,,,
,-46.87424,1.752528,,,,
,-46.84982,1.713384,,,,
,-46.8254,1.681513,,,,
,-46.80098,1.650561,,,,
,-46.77656,1.603569,,,,
,-46.75214,1.539151,,,,
,-46.72772,1.521514,,,,
,-46.7033,1.577599,,,,
,-46.67888,1.650779,,,,
,-46.65446,1.673405,,,,
,-46.63004,1.666409,,,,
,-46.60562,1.650931,,,,
,-46.5812,1.604716,,,,
,-46.55678,1.556274,,,,
,-46.53236,1.492891,,,,
,-46.50794,1.446729,,,,
,-46.48352,1.391292,,,,
,-46.4591,1.32148,,,,
,-46.43468,1.242502,,,,
,-46.41026,1.184672,,,,
,-46.38584,1.149723,,,,
,-46.36142,1.167172,,,,
,-46.337,1.274677,,,,
,-46.31258,1.431587,,,,
,-46.28816,1.615762,,,,
,-46.26374,1.794848,,,,
,-46.23932,1.95352,,,,
,-46.2149,2.034702,,,,
,-46.19048,2.092907,,,,
,-46.16606,2.181079,,,,
,-46.14164,2.253153,,,,
,-46.11722,2.327997,,,,
,-46.0928,2.459853,,,,
,-46.06838,2.642643,,,,
,-46.04396,2.824174,,,,
,-46.01954,3.005196,,,,
,-45.99512,3.226535,,,,
,-45.9707,3.514626,,,,
,-45.94628,3.833139,,,,
,-45.92186,4.145668,,,,
,-45.89744,4.397912,,,,
,-45.87302,4.596154,,,,
,-45.8486,4.778457,,,,
,-45.82418,4.925936,,,,
