B,I
-85,0
-84.95849,0.007847759
-84.91697,-0.2248599
-84.87546,1.870619
-84.83394,1.837481
-84.79243,1.871819
-84.75092,2.020152
-84.7094,2.177161
-84.66789,2.381825
-84.62637,2.419545
-84.58486,2.42318
-84.54335,2.421903
-84.50183,2.427
-84.46032,2.484401
-84.4188,2.598577
-84.37729,2.73877
-84.33578,2.874029
-84.29426,3.009119
-84.25275,3.089921
-84.21123,3.064295
-84.16972,3.02541
-84.12821,3.041342
-84.08669,3.069929
-84.04518,3.092512
-84.00366,3.146831
-83.96215,3.247837
-83.92063,3.395491
-83.87912,3.57316
-83.83761,3.772566
-83.79609,3.94404
-83.75458,4.016831
-83.71306,4.034819
-83.67155,4.058129
-83.63004,4.079761
-83.58852,4.086442
-83.54701,4.115784
-83.50549,4.167281
-83.46398,4.184279
-83.42247,4.170097
-83.38095,4.175745
-83.33944,4.251658
-83.29792,4.365997
-83.25641,4.442635
-83.2149,4.468278
-83.17338,4.455559
-83.13187,4.43986
-83.09035,4.447876
-83.04884,4.486195
-83.00733,4.538339
-82.96581,4.570447
-82.9243,4.597824
-82.88278,4.656978
-82.84127,4.735144
-82.79976,4.819319
-82.75824,4.918935
-82.71673,5.013825
-82.67521,5.092796
-82.6337,5.150411
-82.59219,5.195186
-82.55067,5.243521
-82.50916,5.328968
-82.46764,5.451596
-82.42613,5.570281
-82.38462,5.676448
-82.3431,5.8079
-82.30159,5.995592
-82.26007,6.250806
-82.21856,6.562445
-82.17705,6.899291
-82.13553,7.217175
-82.09402,7.475052
-82.0525,7.711113
-82.01099,7.966637
-81.96947,8.214324
-81.92796,8.434231
-81.88645,8.634328
-81.84493,8.804894
-81.80342,8.954762
-81.7619,9.090171
-81.72039,9.216536
-81.67888,9.303183
-81.63736,9.340097
-81.59585,9.366858
-81.55433,9.440546
-81.51282,9.573859
-81.47131,9.719595
-81.42979,9.846917
-81.38828,9.981157
-81.34676,10.15068
-81.30525,10.36203
-81.26374,10.59447
-81.22222,10.83696
-81.18071,11.07088
-81.13919,11.27705
-81.09768,11.49656
-81.05617,11.76149
-81.01465,12.0155
-80.97314,12.21249
-80.93162,12.38449
-80.89011,12.57034
-80.8486,12.7622
-80.80708,12.93596
-80.76557,13.08001
-80.72405,13.20149
-80.68254,13.31648
-80.64103,13.42385
-80.59951,13.5175
-80.558,13.59856
-80.51648,13.66236
-80.47497,13.70226
-80.43346,13.71736
-80.39194,13.76197
-80.35043,13.85005
-80.30891,13.96785
-80.2674,14.11131
-80.22589,14.23129
-80.18437,14.3357
-80.14286,14.44876
-80.10134,14.58194
-80.05983,14.69627
-80.01832,14.76359
-79.9768,14.79149
-79.93529,14.83051
-79.89377,14.91723
-79.85226,15.03953
-79.81074,15.19387
-79.76923,15.36622
-79.72772,15.5181
-79.6862,15.6542
-79.64469,15.78056
-79.60317,15.86332
-79.56166,15.88763
-79.52015,15.86606
-79.47863,15.8367
-79.43712,15.7853
-79.3956,15.72003
-79.35409,15.65139
-79.31258,15.5887
-79.27106,15.5405
-79.22955,15.50271
-79.18803,15.46459
-79.14652,15.44325
-79.10501,15.473
-79.06349,15.54566
-79.02198,15.62622
-78.98046,15.68804
-78.93895,15.74101
-78.89744,15.80605
-78.85592,15.87952
-78.81441,15.96991
-78.77289,16.10307
-78.73138,16.27764
-78.68987,16.48303
-78.64835,16.66832
-78.60684,16.81685
-78.56532,16.96345
-78.52381,17.12599
-78.4823,17.28004
-78.44078,17.39595
-78.39927,17.48584
-78.35775,17.58557
-78.31624,17.70804
-78.27473,17.8546
-78.23321,18.00426
-78.1917,18.14119
-78.15018,18.24852
-78.10867,18.32844
-78.06716,18.40219
-78.02564,18.49224
-77.98413,18.61974
-77.94261,18.78591
-77.9011,18.95142
-77.85958,19.0925
-77.81807,19.22245
-77.77656,19.3187
-77.73504,19.41408
-77.69353,19.53304
-77.65201,19.66501
-77.6105,19.81625
-77.56899,19.99835
-77.52747,20.18979
-77.48596,20.39869
-77.44444,20.60244
-77.40293,20.80279
-77.36142,20.99584
-77.3199,21.12935
-77.27839,21.2037
-77.23687,21.29543
-77.19536,21.42539
-77.15385,21.51361
-77.11233,21.53719
-77.07082,21.55296
-77.0293,21.57335
-76.98779,21.60449
-76.94628,21.6474
-76.90476,21.67234
-76.86325,21.71447
-76.82173,21.78763
-76.78022,21.85405
-76.73871,21.90504
-76.69719,21.99087
-76.65568,22.13147
-76.61416,22.29941
-76.57265,22.45179
-76.53114,22.58588
-76.48962,22.70446
-76.44811,22.83463
-76.40659,22.97928
-76.36508,23.12978
-76.32357,23.32268
-76.28205,23.56323
-76.24054,23.83206
-76.19902,24.1241
-76.15751,24.43723
-76.116,24.76765
-76.07448,25.14062
-76.03297,25.57781
-75.99145,26.07054
-75.94994,26.61099
-75.90842,27.19843
-75.86691,27.80164
-75.8254,28.4163
-75.78388,29.06705
-75.74237,29.77715
-75.70085,30.53737
-75.65934,31.32518
-75.61783,32.11486
-75.57631,32.89567
-75.5348,33.65541
-75.49328,34.42212
-75.45177,35.20501
-75.41026,36.01138
-75.36874,36.84701
-75.32723,37.71195
-75.28571,38.56417
-75.2442,39.37545
-75.20269,40.15088
-75.16117,40.91308
-75.11966,41.70599
-75.07814,42.5408
-75.03663,43.41066
-74.99512,44.33574
-74.9536,45.35275
-74.91209,46.43036
-74.87057,47.54174
-74.82906,48.66884
-74.78755,49.8238
-74.74603,51.00154
-74.70452,52.24016
-74.663,53.51044
-74.62149,54.79894
-74.57998,56.11233
-74.53846,57.4929
-74.49695,58.92203
-74.45543,60.39604
-74.41392,61.89723
-74.37241,63.43621
-74.33089,65.01402
-74.28938,66.6521
-74.24786,68.31783
-74.20635,69.98004
-74.16484,71.65755
-74.12332,73.35238
-74.08181,75.06037
-74.04029,76.76044
-73.99878,78.46226
-73.95726,80.15783
-73.91575,81.85476
-73.87424,83.52383
-73.83272,85.14648
-73.79121,86.70344
-73.74969,88.20385
-73.70818,89.65006
-73.66667,91.02689
-73.62515,92.29008
-73.58364,93.45855
-73.54212,94.51545
-73.50061,95.42443
-73.4591,96.17699
-73.41758,96.80009
-73.37607,97.26899
-73.33455,97.52725
-73.29304,97.57107
-73.25153,97.3807
-73.21001,96.94642
-73.1685,96.2944
-73.12698,95.37525
-73.08547,94.10743
-73.04396,92.50735
-73.00244,90.63487
-72.96093,88.47106
-72.91941,85.9841
-72.8779,83.12675
-72.83639,79.97897
-72.79487,76.54395
-72.75336,72.92656
-72.71184,69.08889
-72.67033,65.01424
-72.62882,60.6374
-72.5873,56.01844
-72.54579,51.17285
-72.50427,46.13931
-72.46276,40.92198
-72.42125,35.60203
-72.37973,30.12392
-72.33822,24.53191
-72.2967,18.84969
-72.25519,13.14866
-72.21368,7.41295
-72.17216,1.572655
-72.13065,-4.299033
-72.08913,-10.18415
-72.04762,-16.03142
-72.00611,-21.84822
-71.96459,-27.52547
-71.92308,-33.12512
-71.88156,-38.55638
-71.84005,-43.84834
-71.79853,-48.90808
-71.75702,-53.7375
-71.71551,-58.29173
-71.67399,-62.66003
-71.63248,-66.88041
-71.59096,-70.92059
-71.54945,-74.71257
-71.50794,-78.24432
-71.46642,-81.4983
-71.42491,-84.50231
-71.38339,-87.23544
-71.34188,-89.70902
-71.30037,-91.96399
-71.25885,-93.99986
-71.21734,-95.77763
-71.17582,-97.24961
-71.13431,-98.45164
-71.0928,-99.39791
-71.05128,-100.1142
-71.00977,-100.6191
-70.96825,-100.8861
-70.92674,-100.8984
-70.88523,-100.6854
-70.84371,-100.2625
-70.8022,-99.6419
-70.76068,-98.85266
-70.71917,-97.89069
-70.67766,-96.77648
-70.63614,-95.50844
-70.59463,-94.10574
-70.55311,-92.58606
-70.5116,-90.96167
-70.47009,-89.23729
-70.42857,-87.46325
-70.38706,-85.63329
-70.34554,-83.69964
-70.30403,-81.68767
-70.26252,-79.64444
-70.221,-77.56186
-70.17949,-75.45565
-70.13797,-73.3697
-70.09646,-71.29873
-70.05495,-69.22902
-70.01343,-67.14468
-69.97192,-65.07244
-69.9304,-63.04291
-69.88889,-61.09874
-69.84737,-59.21388
-69.80586,-57.40507
-69.76435,-55.59881
-69.72283,-53.79792
-69.68132,-52.02492
-69.6398,-50.32664
-69.59829,-48.70608
-69.55678,-47.14921
-69.51526,-45.57682
-69.47375,-44.00969
-69.43223,-42.48901
-69.39072,-41.07227
-69.34921,-39.76449
-69.30769,-38.55527
-69.26618,-37.40528
-69.22466,-36.30331
-69.18315,-35.2785
-69.14164,-34.35065
-69.10012,-33.5314
-69.05861,-32.7608
-69.01709,-31.98986
-68.97558,-31.24412
-68.93407,-30.55083
-68.89255,-29.88156
-68.85104,-29.2588
-68.80952,-28.64356
-68.76801,-28.02177
-68.7265,-27.4041
-68.68498,-26.80969
-68.64347,-26.22458
-68.60195,-25.64337
-68.56044,-25.08879
-68.51893,-24.57795
-68.47741,-24.09935
-68.4359,-23.67602
-68.39438,-23.30163
-68.35287,-22.95392
-68.31136,-22.61643
-68.26984,-22.30164
-68.22833,-22.01118
-68.18681,-21.71208
-68.1453,-21.37026
-68.10379,-20.96768
-68.06227,-20.49959
-68.02076,-19.99321
-67.97924,-19.4947
-67.93773,-19.00973
-67.89621,-18.52653
-67.8547,-18.03506
-67.81319,-17.58714
-67.77167,-17.19918
-67.73016,-16.82881
-67.68864,-16.46381
-67.64713,-16.12451
-67.60562,-15.80059
-67.5641,-15.50444
-67.52259,-15.22508
-67.48107,-14.93605
-67.43956,-14.65766
-67.39805,-14.41846
-67.35653,-14.20852
-67.31502,-14.00643
-67.2735,-13.78717
-67.23199,-13.5592
-67.19048,-13.32402
-67.14896,-13.08833
-67.10745,-12.85127
-67.06593,-12.58985
-67.02442,-12.31517
-66.98291,-12.05876
-66.94139,-11.81491
-66.89988,-11.56518
-66.85836,-11.34161
-66.81685,-11.16457
-66.77534,-11.06036
-66.73382,-11.02227
-66.69231,-10.99045
-66.65079,-10.93906
-66.60928,-10.87819
-66.56777,-10.84349
-66.52625,-10.85352
-66.48474,-10.86457
-66.44322,-10.85755
-66.40171,-10.83982
-66.3602,-10.79991
-66.31868,-10.7237
-66.27717,-10.62298
-66.23565,-10.50883
-66.19414,-10.39252
-66.15263,-10.28687
-66.11111,-10.17271
-66.0696,-10.03071
-66.02808,-9.862254
-65.98657,-9.703182
-65.94505,-9.583537
-65.90354,-9.500503
-65.86203,-9.436362
-65.82051,-9.393659
-65.779,-9.365663
-65.73748,-9.331116
-65.69597,-9.294498
-65.65446,-9.261859
-65.61294,-9.24211
-65.57143,-9.209055
-65.52991,-9.128079
-65.4884,-9.011047
-65.44689,-8.889164
-65.40537,-8.782066
-65.36386,-8.726677
-65.32234,-8.697771
-65.28083,-8.645978
-65.23932,-8.566537
-65.1978,-8.485128
-65.15629,-8.400127
-65.11477,-8.300189
-65.07326,-8.183208
-65.03175,-8.073685
-64.99023,-8.017025
-64.94872,-8.006253
-64.9072,-8.028815
-64.86569,-8.076657
-64.82418,-8.141846
-64.78266,-8.227455
-64.74115,-8.329464
-64.69963,-8.422341
-64.65812,-8.467086
-64.61661,-8.501336
-64.57509,-8.543116
-64.53358,-8.565519
-64.49206,-8.594364
-64.45055,-8.644501
-64.40904,-8.676231
-64.36752,-8.685111
-64.32601,-8.672436
-64.28449,-8.634686
-64.24298,-8.57457
-64.20147,-8.493485
-64.15995,-8.409873
-64.11844,-8.297297
-64.07692,-8.129738
-64.03541,-7.942786
-63.99389,-7.743591
-63.95238,-7.50507
-63.91087,-7.276697
-63.86935,-7.083008
-63.82784,-6.905501
-63.78632,-6.708865
-63.74481,-6.481064
-63.7033,-6.235729
-63.66178,-5.955862
-63.62027,-5.628206
-63.57875,-5.312612
-63.53724,-5.040743
-63.49573,-4.793332
-63.45421,-4.5702
-63.4127,-4.385929
-63.37118,-4.201066
-63.32967,-3.976314
-63.28816,-3.731696
-63.24664,-3.512133
-63.20513,-3.302598
-63.16361,-3.112137
-63.1221,-2.925638
-63.08059,-2.733452
-63.03907,-2.543221
-62.99756,-2.330407
